csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.000 precision:0.933 recall:1.000 true_negative_rate:0.000 true_positive:16857 true_negative:0 false_positive:1206 false_negative:0 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.050 precision:0.934 recall:0.976 true_negative_rate:0.031 true_positive:16452 true_negative:37 false_positive:1169 false_negative:405 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.100 precision:0.942 recall:0.903 true_negative_rate:0.218 true_positive:15219 true_negative:263 false_positive:943 false_negative:1638 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.150 precision:0.965 recall:0.753 true_negative_rate:0.619 true_positive:12686 true_negative:746 false_positive:460 false_negative:4171 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.200 precision:0.985 recall:0.567 true_negative_rate:0.881 true_positive:9550 true_negative:1063 false_positive:143 false_negative:7307 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.250 precision:0.994 recall:0.410 true_negative_rate:0.964 true_positive:6904 true_negative:1162 false_positive:44 false_negative:9953 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.300 precision:0.995 recall:0.300 true_negative_rate:0.978 true_positive:5053 true_negative:1180 false_positive:26 false_negative:11804 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.350 precision:0.997 recall:0.222 true_negative_rate:0.990 true_positive:3744 true_negative:1194 false_positive:12 false_negative:13113 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.400 precision:0.998 recall:0.159 true_negative_rate:0.996 true_positive:2685 true_negative:1201 false_positive:5 false_negative:14172 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.107 true_negative_rate:1.000 true_positive:1812 true_negative:1206 false_positive:0 false_negative:15045 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:1121 true_negative:1206 false_positive:0 false_negative:15736 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.039 true_negative_rate:1.000 true_positive:651 true_negative:1206 false_positive:0 false_negative:16206 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.023 true_negative_rate:1.000 true_positive:380 true_negative:1206 false_positive:0 false_negative:16477 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:161 true_negative:1206 false_positive:0 false_negative:16696 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.003 true_negative_rate:1.000 true_positive:57 true_negative:1206 false_positive:0 false_negative:16800 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:29 true_negative:1206 false_positive:0 false_negative:16828 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:18 true_negative:1206 false_positive:0 false_negative:16839 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:10 true_negative:1206 false_positive:0 false_negative:16847 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:4 true_negative:1206 false_positive:0 false_negative:16853 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:3 true_negative:1206 false_positive:0 false_negative:16854 
csail_ocount_60_osize_7_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1206 false_positive:0 false_negative:16856 
