aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.000 precision:0.959 recall:1.000 true_negative_rate:0.000 true_positive:37795 true_negative:0 false_positive:1624 false_negative:0 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.050 precision:0.992 recall:0.860 true_negative_rate:0.848 true_positive:32498 true_negative:1377 false_positive:247 false_negative:5297 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.100 precision:0.998 recall:0.720 true_negative_rate:0.958 true_positive:27205 true_negative:1556 false_positive:68 false_negative:10590 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.150 precision:0.998 recall:0.619 true_negative_rate:0.973 true_positive:23392 true_negative:1580 false_positive:44 false_negative:14403 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.200 precision:0.999 recall:0.540 true_negative_rate:0.985 true_positive:20426 true_negative:1600 false_positive:24 false_negative:17369 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.250 precision:0.999 recall:0.475 true_negative_rate:0.987 true_positive:17963 true_negative:1603 false_positive:21 false_negative:19832 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.300 precision:0.999 recall:0.420 true_negative_rate:0.990 true_positive:15872 true_negative:1607 false_positive:17 false_negative:21923 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.350 precision:0.999 recall:0.357 true_negative_rate:0.996 true_positive:13503 true_negative:1617 false_positive:7 false_negative:24292 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.400 precision:1.000 recall:0.287 true_negative_rate:0.998 true_positive:10850 true_negative:1620 false_positive:4 false_negative:26945 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.450 precision:1.000 recall:0.231 true_negative_rate:0.998 true_positive:8715 true_negative:1621 false_positive:3 false_negative:29080 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.500 precision:1.000 recall:0.184 true_negative_rate:0.998 true_positive:6967 true_negative:1621 false_positive:3 false_negative:30828 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.550 precision:0.999 recall:0.141 true_negative_rate:0.998 true_positive:5341 true_negative:1621 false_positive:3 false_negative:32454 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.600 precision:1.000 recall:0.100 true_negative_rate:1.000 true_positive:3791 true_negative:1624 false_positive:0 false_negative:34004 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.650 precision:1.000 recall:0.067 true_negative_rate:1.000 true_positive:2528 true_negative:1624 false_positive:0 false_negative:35267 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.700 precision:1.000 recall:0.035 true_negative_rate:1.000 true_positive:1312 true_negative:1624 false_positive:0 false_negative:36483 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.750 precision:1.000 recall:0.013 true_negative_rate:1.000 true_positive:501 true_negative:1624 false_positive:0 false_negative:37294 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:61 true_negative:1624 false_positive:0 false_negative:37734 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.850 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:34 true_negative:1624 false_positive:0 false_negative:37761 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.900 precision:1.000 recall:0.001 true_negative_rate:1.000 true_positive:25 true_negative:1624 false_positive:0 false_negative:37770 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:12 true_negative:1624 false_positive:0 false_negative:37783 
aces_publicb_ocount_160_osize_4_otype_RANDOM.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:1624 false_positive:0 false_negative:37794 
