edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.000 precision:0.475 recall:1.000 true_negative_rate:0.000 true_positive:44587 true_negative:0 false_positive:49366 false_negative:0 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.050 precision:0.437 recall:0.783 true_negative_rate:0.091 true_positive:34891 true_negative:4485 false_positive:44881 false_negative:9696 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.100 precision:0.517 recall:0.530 true_negative_rate:0.552 true_positive:23649 true_negative:27261 false_positive:22105 false_negative:20938 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.150 precision:0.744 recall:0.359 true_negative_rate:0.889 true_positive:15997 true_negative:43874 false_positive:5492 false_negative:28590 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.200 precision:0.876 recall:0.248 true_negative_rate:0.968 true_positive:11039 true_negative:47801 false_positive:1565 false_negative:33548 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.250 precision:0.949 recall:0.181 true_negative_rate:0.991 true_positive:8087 true_negative:48934 false_positive:432 false_negative:36500 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.300 precision:0.981 recall:0.145 true_negative_rate:0.998 true_positive:6444 true_negative:49244 false_positive:122 false_negative:38143 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.350 precision:0.997 recall:0.115 true_negative_rate:1.000 true_positive:5114 true_negative:49350 false_positive:16 false_negative:39473 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.093 true_negative_rate:1.000 true_positive:4147 true_negative:49366 false_positive:0 false_negative:40440 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.083 true_negative_rate:1.000 true_positive:3682 true_negative:49366 false_positive:0 false_negative:40905 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.076 true_negative_rate:1.000 true_positive:3399 true_negative:49366 false_positive:0 false_negative:41188 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.072 true_negative_rate:1.000 true_positive:3190 true_negative:49366 false_positive:0 false_negative:41397 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.068 true_negative_rate:1.000 true_positive:3010 true_negative:49366 false_positive:0 false_negative:41577 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:2726 true_negative:49366 false_positive:0 false_negative:41861 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.022 true_negative_rate:1.000 true_positive:975 true_negative:49366 false_positive:0 false_negative:43612 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.008 true_negative_rate:1.000 true_positive:370 true_negative:49366 false_positive:0 false_negative:44217 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:81 true_negative:49366 false_positive:0 false_negative:44506 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:49366 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:49366 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:49366 false_positive:0 false_negative:44586 
edmonton_ocount_160_osize_29_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:49366 false_positive:0 false_negative:44586 
