fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.000 precision:0.946 recall:1.000 true_negative_rate:0.000 true_positive:14893 true_negative:0 false_positive:842 false_negative:0 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.050 precision:0.988 recall:0.922 true_negative_rate:0.810 true_positive:13724 true_negative:682 false_positive:160 false_negative:1169 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.100 precision:0.996 recall:0.800 true_negative_rate:0.947 true_positive:11911 true_negative:797 false_positive:45 false_negative:2982 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.150 precision:0.997 recall:0.665 true_negative_rate:0.970 true_positive:9904 true_negative:817 false_positive:25 false_negative:4989 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.200 precision:0.999 recall:0.553 true_negative_rate:0.986 true_positive:8243 true_negative:830 false_positive:12 false_negative:6650 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.250 precision:0.999 recall:0.478 true_negative_rate:0.994 true_positive:7124 true_negative:837 false_positive:5 false_negative:7769 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.300 precision:1.000 recall:0.419 true_negative_rate:0.996 true_positive:6233 true_negative:839 false_positive:3 false_negative:8660 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.350 precision:1.000 recall:0.378 true_negative_rate:1.000 true_positive:5636 true_negative:842 false_positive:0 false_negative:9257 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.400 precision:1.000 recall:0.331 true_negative_rate:1.000 true_positive:4935 true_negative:842 false_positive:0 false_negative:9958 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.450 precision:1.000 recall:0.289 true_negative_rate:1.000 true_positive:4298 true_negative:842 false_positive:0 false_negative:10595 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.500 precision:1.000 recall:0.258 true_negative_rate:1.000 true_positive:3835 true_negative:842 false_positive:0 false_negative:11058 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.550 precision:1.000 recall:0.224 true_negative_rate:1.000 true_positive:3342 true_negative:842 false_positive:0 false_negative:11551 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.600 precision:1.000 recall:0.194 true_negative_rate:1.000 true_positive:2889 true_negative:842 false_positive:0 false_negative:12004 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.650 precision:1.000 recall:0.153 true_negative_rate:1.000 true_positive:2284 true_negative:842 false_positive:0 false_negative:12609 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.700 precision:1.000 recall:0.119 true_negative_rate:1.000 true_positive:1778 true_negative:842 false_positive:0 false_negative:13115 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.750 precision:1.000 recall:0.090 true_negative_rate:1.000 true_positive:1335 true_negative:842 false_positive:0 false_negative:13558 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.800 precision:1.000 recall:0.061 true_negative_rate:1.000 true_positive:908 true_negative:842 false_positive:0 false_negative:13985 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.850 precision:1.000 recall:0.028 true_negative_rate:1.000 true_positive:415 true_negative:842 false_positive:0 false_negative:14478 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.900 precision:1.000 recall:0.010 true_negative_rate:1.000 true_positive:143 true_negative:842 false_positive:0 false_negative:14750 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:0.950 precision:1.000 recall:0.002 true_negative_rate:1.000 true_positive:36 true_negative:842 false_positive:0 false_negative:14857 
fr101_ocount_180_osize_3_otype_SQUARE.png threshold:1.000 precision:1.000 recall:0.000 true_negative_rate:1.000 true_positive:1 true_negative:842 false_positive:0 false_negative:14892 
